                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  2.916,                 3.0033,                 3.2629,                0.00975,                0.67742,                0.01947,                0.00595,                  3.305,                 3.9919,                 4.2678,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.8866,                 2.9141,                  3.267,                0.00706,                0.74194,                0.02137,                0.00689,                 3.2406,                 3.8947,                 4.1934,              0.0006932,              0.0006932,              0.0006932
                     36,                 2.8624,                 2.9009,                  3.239,                0.00634,                0.83871,                0.03834,                0.01305,                 3.1131,                 3.7022,                 4.0044,              0.0006536,              0.0006536,              0.0006536
                     37,                 2.9775,                 3.0287,                 3.2314,                0.00549,                0.83871,                0.03818,                0.01021,                 3.0571,                 3.6433,                 3.8832,               0.000614,               0.000614,               0.000614
                     38,                 2.7452,                 2.7749,                 3.1154,                0.00517,                0.93548,                0.04168,                0.01298,                 2.9461,                 3.5782,                 3.6349,              0.0005744,              0.0005744,              0.0005744
                     39,                 2.7517,                 2.8635,                 3.0921,                0.00509,                0.93548,                 0.0678,                0.02251,                 2.8957,                 3.5576,                 3.4922,              0.0005348,              0.0005348,              0.0005348
                     40,                 2.7994,                  2.916,                 3.0969,                0.00522,                0.90323,                0.10525,                0.03276,                 2.9697,                 3.5986,                 3.5683,              0.0004952,              0.0004952,              0.0004952
                     41,                  2.625,                 3.1439,                 3.0117,                0.00531,                0.90323,                0.11936,                0.03963,                 3.0073,                 3.6414,                 3.6341,              0.0004556,              0.0004556,              0.0004556
                     42,                  2.659,                 3.0797,                 2.9784,                0.00529,                0.90323,                0.10257,                0.04538,                 3.0454,                 3.6594,                 3.6846,               0.000416,               0.000416,               0.000416
                     43,                 2.5681,                 2.9153,                 2.8775,                0.00516,                0.90323,                0.09872,                0.04326,                 3.0162,                 3.5952,                 3.6343,              0.0003764,              0.0003764,              0.0003764
                     44,                 2.5429,                 2.9481,                 2.9697,                0.25072,                0.16129,                0.12991,                0.04909,                 2.9186,                 3.4428,                 3.5072,              0.0003368,              0.0003368,              0.0003368
                     45,                 2.4431,                  2.959,                 2.9906,                0.22088,                0.09677,                0.13483,                0.06057,                 2.8928,                 3.4347,                 3.4882,              0.0002972,              0.0002972,              0.0002972
                     46,                 2.5229,                 2.9486,                 2.9435,                0.39428,                0.09677,                 0.1367,                 0.0605,                 2.8416,                  3.354,                 3.4226,              0.0002576,              0.0002576,              0.0002576
                     47,                 2.5422,                  2.916,                 2.9409,                0.53092,                0.09677,                0.14813,                0.06299,                  2.814,                 3.2922,                 3.3664,               0.000218,               0.000218,               0.000218
                     48,                 2.4527,                 2.8567,                 2.9506,                0.39222,                0.09677,                0.16566,                 0.0718,                 2.7312,                  3.182,                 3.2562,              0.0001784,              0.0001784,              0.0001784
                     49,                 2.3873,                 2.8476,                 2.8648,                0.49523,                0.16129,                0.17176,                0.07334,                 2.7118,                 3.1357,                  3.231,              0.0001388,              0.0001388,              0.0001388
                     50,                 2.3476,                 2.8717,                 2.8573,                0.48463,                0.19355,                0.19461,                0.07727,                 2.6517,                 3.0601,                 3.1717,               9.92e-05,               9.92e-05,               9.92e-05
