                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                 3.2654,                   3.11,                 3.5433,                0.03497,                0.06452,                0.05543,                 0.0158,                 3.3735,                 3.8078,                 4.1646,               0.001316,               0.001316,               0.001316
                     22,                 3.1064,                 3.1693,                 3.5107,                0.03164,                0.16129,                0.01946,                0.00656,                 3.2573,                 4.4388,                  3.675,                0.00128,                0.00128,                0.00128
                     23,                 3.2284,                 3.1084,                 3.5318,                0.18593,                0.22581,                0.09114,                0.02409,                 3.1649,                 3.8152,                 3.4524,               0.001244,               0.001244,               0.001244
                     24,                 3.0893,                 3.2382,                 3.4938,                0.17205,                0.25806,                0.07455,                0.02751,                 3.1486,                 3.7481,                 3.2889,               0.001208,               0.001208,               0.001208
                     25,                 3.1709,                 3.2164,                 3.4904,                0.07192,                0.12903,                0.04059,                 0.0152,                 3.1589,                 4.1638,                 3.3865,               0.001172,               0.001172,               0.001172
                     26,                 3.0672,                 3.1168,                 3.3847,                0.04544,                0.48387,                0.04777,                0.01736,                 3.1663,                 3.9608,                 3.4582,               0.001136,               0.001136,               0.001136
                     27,                 3.1114,                 3.2198,                  3.466,                0.03327,                0.09677,                0.04239,                0.01495,                 3.2113,                 3.5509,                  3.421,                 0.0011,                 0.0011,                 0.0011
                     28,                 3.0214,                  3.122,                 3.3656,                0.04954,                0.16129,                0.06236,                0.01955,                 3.1949,                 3.3875,                 3.3575,               0.001064,               0.001064,               0.001064
                     29,                 3.1181,                 3.1349,                 3.3822,                0.07968,                0.22581,                0.06092,                0.02091,                  3.141,                 3.3718,                 3.3661,               0.001028,               0.001028,               0.001028
                     30,                 3.0342,                  3.143,                 3.3108,                0.06172,                0.12903,                0.05728,                0.02051,                  3.049,                 3.3352,                 3.2755,               0.000992,               0.000992,               0.000992
                     31,                 2.9233,                 3.0524,                 3.3569,                0.09608,                0.22581,                 0.0759,                0.02457,                  2.978,                 3.3297,                 3.2193,               0.000956,               0.000956,               0.000956
                     32,                 2.9633,                 3.0703,                 3.3128,                0.09587,                0.22581,                0.11003,                0.03091,                 2.9063,                 3.5488,                 3.2192,                0.00092,                0.00092,                0.00092
                     33,                 2.9162,                 3.0254,                 3.2976,                0.09138,                0.29032,                0.07494,                0.02357,                  2.889,                 3.6172,                 3.2198,               0.000884,               0.000884,               0.000884
                     34,                 2.9584,                 3.0896,                 3.3417,                0.16314,                0.16129,                0.10272,                0.03114,                 2.8673,                 3.3546,                 3.1801,               0.000848,               0.000848,               0.000848
                     35,                  2.927,                 2.9554,                 3.2294,                0.17314,                0.16129,                0.11623,                 0.0325,                 2.8523,                 3.1929,                 3.1514,               0.000812,               0.000812,               0.000812
                     36,                 3.0995,                 3.1468,                 3.3358,                0.15848,                0.12903,                 0.0931,                0.03141,                 2.8616,                 3.1316,                 3.1378,               0.000776,               0.000776,               0.000776
                     37,                 3.0438,                 3.0899,                  3.308,                0.09106,                0.16129,                0.08715,                 0.0282,                 2.8067,                 3.1281,                 3.1446,                0.00074,                0.00074,                0.00074
                     38,                 3.0217,                 3.0086,                 3.2882,                0.10929,                0.25806,                0.10026,                0.02965,                 2.7868,                 3.1381,                 3.0978,               0.000704,               0.000704,               0.000704
                     39,                 2.9375,                 2.9917,                 3.2374,                0.09682,                0.22581,                0.08379,                0.02925,                 2.7863,                 3.1863,                 3.0775,               0.000668,               0.000668,               0.000668
                     40,                  2.833,                 3.0657,                 3.2065,                0.10709,                0.48387,                0.07436,                0.02629,                 2.8279,                 3.3107,                 3.0754,               0.000632,               0.000632,               0.000632
                     41,                 3.0556,                 3.1128,                 3.2718,                0.08898,                0.35484,                 0.0675,                0.02215,                 2.8497,                 3.3552,                 3.1026,               0.000596,               0.000596,               0.000596
                     42,                 2.8979,                  3.069,                 3.2172,                0.11433,                0.32258,                0.07441,                0.02315,                 2.8995,                 3.3162,                 3.1699,                0.00056,                0.00056,                0.00056
                     43,                 2.9573,                   3.05,                 3.2137,                0.13459,                0.22581,                0.08589,                0.02487,                 2.8686,                 3.1842,                 3.1574,               0.000524,               0.000524,               0.000524
                     44,                  2.935,                 3.0754,                 3.2131,                0.10892,                0.32258,                0.08683,                0.02773,                 2.8237,                 3.1046,                 3.1269,               0.000488,               0.000488,               0.000488
                     45,                  2.779,                 3.0261,                 3.1582,                0.04523,                0.58065,                0.08894,                0.03124,                 2.7664,                 3.0499,                 3.0858,               0.000452,               0.000452,               0.000452
                     46,                  2.655,                 3.3064,                 3.0571,                0.01322,                0.87097,                0.10402,                0.03225,                  2.657,                 3.0592,                 3.0128,               0.000416,               0.000416,               0.000416
                     47,                 2.7541,                 3.2014,                 3.0703,                0.01839,                0.77419,                0.09405,                 0.0335,                 2.6277,                 3.0781,                 3.0007,                0.00038,                0.00038,                0.00038
                     48,                 2.6785,                  3.149,                 3.0108,                0.02966,                0.58065,                0.14037,                0.04642,                 2.5978,                 3.1139,                 2.9899,               0.000344,               0.000344,               0.000344
                     49,                 2.6581,                 3.1138,                 3.0699,                0.04574,                0.45161,                0.14065,                0.04894,                 2.5765,                 3.0953,                  2.977,               0.000308,               0.000308,               0.000308
                     50,                 2.5357,                 3.1457,                  3.019,                0.12479,                0.29032,                0.15942,                0.05967,                 2.5953,                 3.0571,                 2.9776,               0.000272,               0.000272,               0.000272
                     51,                 2.6299,                 3.1467,                 3.0168,                0.22485,                0.29032,                0.17105,                0.06384,                 2.6205,                 2.9981,                 2.9797,               0.000236,               0.000236,               0.000236
                     52,                 2.5449,                 3.1132,                 2.9766,                0.25266,                0.22581,                0.18045,                0.06771,                 2.6354,                 2.9588,                 2.9728,                 0.0002,                 0.0002,                 0.0002
                     53,                 2.6179,                 3.0545,                 3.0567,                0.23848,                0.22581,                0.20926,                0.07948,                 2.6525,                 2.9245,                 2.9731,               0.000164,               0.000164,               0.000164
                     54,                 2.5514,                 3.1433,                 3.0583,                0.23191,                0.22581,                0.25241,                0.09678,                 2.6616,                 2.8947,                 2.9676,               0.000128,               0.000128,               0.000128
                     55,                  2.528,                  3.106,                 2.9859,                0.24595,                0.22581,                0.23649,                0.09565,                 2.6598,                 2.8893,                 2.9566,                9.2e-05,                9.2e-05,                9.2e-05
