                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6896,                  3.834,                 4.2306,                0.00628,                0.70968,                0.01815,                0.00526,                  3.777,                 3.7926,                 4.1573,                0.00018,                0.00018,                0.00018
                      2,                 3.6391,                 3.7316,                 4.2104,                0.00634,                0.70968,                0.02972,                0.00672,                  3.777,                 3.7856,                 4.1549,             0.00037316,             0.00037316,             0.00037316
                      3,                 3.5908,                 3.6439,                  4.203,                0.00638,                0.70968,                0.11116,                0.02039,                  3.774,                 3.7806,                 4.1509,             0.00055912,             0.00055912,             0.00055912
                      4,                 3.5038,                 3.6063,                 4.1494,                 0.0063,                0.70968,                0.04266,                0.00935,                 3.7776,                 3.7435,                 4.1384,             0.00073788,             0.00073788,             0.00073788
                      5,                 3.6369,                 3.5652,                 4.1212,                0.00601,                0.67742,                0.04075,                0.01031,                 3.7674,                 3.7114,                 4.1181,             0.00090944,             0.00090944,             0.00090944
                      6,                  3.612,                  3.535,                 4.0742,                0.00594,                0.67742,                0.05519,                0.01227,                 3.7513,                  3.718,                  4.107,              0.0010738,              0.0010738,              0.0010738
                      7,                  3.584,                 3.4828,                 4.0381,                0.00588,                0.67742,                0.07457,                0.01534,                 3.7483,                 3.7485,                 4.1017,               0.001231,               0.001231,               0.001231
                      8,                 3.6296,                 3.4879,                 4.0293,                0.00563,                0.67742,                0.05154,                0.01297,                 3.7521,                 3.8671,                 4.1174,              0.0013809,              0.0013809,              0.0013809
                      9,                 3.4375,                  3.319,                 3.9512,                0.00588,                0.67742,                0.04664,                0.01301,                 3.7184,                 3.7822,                 4.0664,              0.0015237,              0.0015237,              0.0015237
                     10,                 3.5138,                 3.3757,                 3.9766,                0.00609,                0.70968,                0.07891,                0.01551,                 3.6618,                 3.8104,                 4.0051,              0.0016592,              0.0016592,              0.0016592
                     11,                 3.6662,                 3.4761,                 3.9002,                0.00583,                0.67742,                0.03337,                0.00942,                 3.6289,                 3.7771,                 3.9511,                0.00164,                0.00164,                0.00164
                     12,                 3.4259,                 3.3826,                 3.8807,                0.00591,                0.67742,                 0.0478,                0.01231,                 3.5559,                 3.6765,                 3.8377,                0.00164,                0.00164,                0.00164
                     13,                 3.5501,                 3.3078,                 3.8359,                0.00596,                0.70968,                0.10348,                0.02035,                 3.6469,                 3.7516,                 3.9412,               0.001604,               0.001604,               0.001604
                     14,                 3.5625,                 3.2929,                 3.8408,                0.00553,                0.70968,                0.04585,                  0.012,                 3.7412,                 3.7315,                 4.0297,               0.001568,               0.001568,               0.001568
                     15,                 3.4114,                 3.1624,                 3.7462,                0.00472,                0.70968,                0.04169,                0.01356,                  3.573,                 3.5833,                  3.868,               0.001532,               0.001532,               0.001532
                     16,                 3.3117,                 3.2031,                 3.7403,                0.04907,                0.12903,                0.06049,                0.01859,                 3.3944,                 3.4735,                 3.6715,               0.001496,               0.001496,               0.001496
                     17,                 3.3256,                 3.1157,                 3.6922,                0.09792,                0.32258,                0.10921,                0.03047,                 3.3396,                 3.4356,                 3.5221,                0.00146,                0.00146,                0.00146
                     18,                 3.3495,                 3.2032,                 3.6365,                 0.1772,                0.25806,                0.11632,                0.03424,                 3.4143,                 3.3555,                 3.6145,               0.001424,               0.001424,               0.001424
                     19,                  3.221,                 3.2432,                 3.6446,                0.07456,                0.22581,                0.09012,                0.02227,                 3.5012,                 3.6787,                 3.8108,               0.001388,               0.001388,               0.001388
                     20,                 3.1604,                 3.1131,                 3.5606,                0.09948,                0.25806,                0.05558,                0.01476,                 3.4944,                 3.7774,                 4.1388,               0.001352,               0.001352,               0.001352
